IPQA NO;Current Paper NO;Lot;Product Model;Equipment;Surface Treatment;Layout Design;Production Process;Edge Position;Board Specification;Board Length (mm);Board Width (mm);Minimum Hole Diameter (mm);Customer Number;Full Board Plating_Production Line Equipment Name;Full Board Plating_Copper Surface Requirement (um);Full Board Plating_Hole Copper Requirement (um);Full Board Plating_Copper Current Density;Full Board Plating_Spray Frequency (HZ);Full Board Plating_Copper Plating Time (min);Full Board Plating_Board Speed (m/min);Pattern Plating_Production;Pattern Plating_Copper Surface Requirement (um);Pattern Plating_Hole Copper Requirement (um);Pattern Plating_Plated Area (GTL);Pattern Plating_Plated Area (GBL);Pattern Plating_Copper Current Density;Pattern Plating_Tin Plating Current Density;Pattern Plating_Spray Frequency|Copper (HZ);Pattern Plating_Spray Frequency|Tin (HZ);Pattern Plating_Copper Plating Time (min);Pattern Plating_Tin Plating Time (min);Pattern Plating_Board Speed (m/min);Is Hole Plugged;Not Plugged;Plugged;Inspection Item;Requirement;Measured Range 1;Measured Range 2;Measured Range 3;Measured Range 4;Measured Range 5;Measured Range 6;Average Value;Judgment;min_requirement;judgement_criteria;label;thickness_min;thickness_max;thickness_mean;thickness_std;thickness_range;mfgpartId;Part Number;Panel Length;Panel Width;Part Length;Part Width;Line width/spacing (mm);Graphic Area C Side %;Graphic Area S Side %;Board Thickness (mm);Min. hole size;Total Hole Quantity;Ratio;Panel Size;Line Width (mm);Line Spacing (mm);is_vcp;minimal_thickness;maximal_thickness;thickness_asymmetry;thickness_req_ratio;thickness_delta;minimum_hole_diameter
DCI-20240603443;ECI-20240603004;WOA240530647-00-001-001;JA2C890TA0;2#龙门图电线;沉锡;A板;正片;短边;1.5;622.0;520.5;0.55;H0080;东威;5;5;17;45.0;19.0;2;龙门;35;25;46.0;44.0;18.0;11.0;;;70.0;8;;;;;孔铜;管控要求孔≥28（MI要求≥25）;33.85;28.92;33.23;35.08;29.54;30.15;31.795;ACC;25.0;30.0;1;28.92;35.08;31.8;2.57;6.159999999999997;163397;JA2C890TA0;622.0;520.5;251.0;190.5;0.3/0.3;46.0;44.0;1.6;0.55;17436.0;2.909090909090909;323751.0;0.3;0.3;False;28.92;35.08;6.159999999999997;0.15680000000000008;3.9200000000000017;0.55
DCI-20240603585;ECI-20240603005;WOA240601001-00-001-001;J0600040A00.0;2#龙门图电线;喷锡;A板;正片;短边;;580.0;474.0;0.35;H0156;东威;5;5;17;45.0;19.0;2;龙门;38;20;76.0;76.0;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;30.34;22.91;29.72;29.72;22.29;30.96;27.65;ACC;20.0;25.0;1;22.29;30.96;27.66;3.95;8.670000000000002;276728;J0600040A00.0;580.0;474.0;222.0;180.0;0.2/0.25;76.0;76.0;1.6;0.35;26559.0;4.571428571428572;274920.0;0.2;0.25;False;22.29;30.96;8.670000000000002;0.11449999999999996;2.289999999999999;0.35
DCI-20240603586;ECI-20240603006;WOA240530651-00-001-001;JS22095TA0;2#龙门图电线;沉锡;A板;正片;短边;1.5;600.0;468.0;0.35;H0053;东威;5;5;17;45.0;19.0;2;龙门;47;18;79.0;70.0;16.0;11.0;;;60.0;8;;;;;孔铜;≥18平均20;27.24;20.43;27.24;25.39;20.43;26.01;24.45;ACC;18.0;23.0;1;20.43;27.24;24.46;3.2;6.809999999999999;86054;JS22095TA0;600.0;468.0;222.0;190.0;0.203/0.156;79.0;70.0;1.6;0.35;10245.0;4.571428571428572;280800.0;0.203;0.156;False;20.43;27.24;6.809999999999999;0.13499999999999998;2.4299999999999997;0.35
DCI-20240604279;ECI-20240603007;WOA240527555-00-001-001;JP6C004EA1;2#龙门图电线;沉金;A板;正片;短边;;600.0;440.0;0.5;H0080;东威;5;5;17;45.0;19.0;2;龙门;35;20;37.0;34.0;16.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;32.62;28.59;29.63;30.85;27.86;34.05;30.6;ACC;20.0;25.0;0;27.86;34.05;30.6;2.39;6.189999999999998;262280;JP6C004EA1;600.0;440.0;204.4;184.6;0.15/0.20;37.0;34.0;1.5;0.5;19498.0;3.0;264000.0;0.15;0.2;False;27.86;34.05;6.189999999999998;0.39299999999999996;7.859999999999999;0.5
DCI-20240604283;ECI-20240604001;WOA240527535-00-001-001;J0400109A00.0;2#龙门图电线;喷锡;A板;正片;短边;0.4;622.0;520.5;0.35;H0144;东威;5;5;17;45.0;19.0;2;龙门;35;18;53.0;51.0;15.0;11.0;;;60.0;8;;;;;孔铜;≥18平均20;26.01;26.58;27.36;26.56;29.52;31.58;27.93;REJ;18.0;23.0;0;26.01;31.58;27.94;2.17;5.569999999999997;258005;J0400109A00.0;622.0;520.5;228.07;118.2;0.203/0.152;53.0;51.0;1.0;0.35;13320.0;2.857142857142857;323751.0;0.203;0.152;False;26.01;31.58;5.569999999999997;0.44500000000000006;8.010000000000002;0.35
DCI-20240604284;ECI-20240604002;WOA240528558-00-001-001;JP40262EA1;2#龙门图电线;沉金;A板;正片;短边;1.1;580.0;347.0;0.4;H0085;东威;5;5;17;45.0;19.0;2;龙门;35;18;38.0;73.0;16.0;11.0;;;60.0;8;;;;;孔铜;≥18平均20;39.95;31.43;33.4;42.57;30.78;33.4;35.25;REJ;18.0;23.0;0;30.78;42.57;35.26;4.84;11.79;270623;JP40262EA1;580.0;347.0;321.0;133.0;0.254/0.244;38.0;73.0;1.6;0.4;5045.0;4.0;201260.0;0.254;0.244;False;30.78;42.57;11.79;0.7100000000000001;12.780000000000001;0.4
DCI-20240604364;ECI-20240604003;WOA240530688-00-001-001;J0800010A00.0;2#龙门图电线;OSP;A板;正片;短边;;622.0;313.33;0.3;H0080;荣信;5;5;2.5;45.0;18.0;1.3;龙门;85;18;41.0;38.0;14.0;11.0;;;70.0;8;;;;;孔铜;≥18平均20;27.16;21.34;26.62;27.56;21.99;25.52;25.03;ACC;18.0;23.0;1;21.34;27.56;25.03;2.7;6.219999999999999;267559;J0800010A00.0;622.0;313.33;286.89;280.63;0.2/0.2;41.0;38.0;2.29;0.3;3904.0;7.633333333333334;194891.26;0.2;0.2;False;21.34;27.56;6.219999999999999;0.18555555555555556;3.34;0.3
DCI-20240604494;ECI-20240604005;WOA240524484-00-001-008;J0400037A01.0;2#龙门图电线;喷锡;A板;正片;短边;0.53;622.0;436.8;0.4;;荣信;5;5;1.5;45.0;18.0;1.3;龙门;50;20;66.0;67.0;18.0;11.0;;;60.0;8;;;;;孔铜;管控要求≥22平均27（MI要求≥20平均25）;25.87;22.34;27.81;25.87;22.63;25.87;25.06;ACC;20.0;25.0;1;22.34;27.81;25.06;2.14;5.469999999999999;233623;J0400037A01.0;622.0;436.8;418.0;271.0;0.178/0.15;66.0;67.0;1.2;0.4;26932.0;3.0;271689.6;0.178;0.15;False;22.34;27.81;5.469999999999999;0.11699999999999999;2.34;0.4
DCI-20240605293;ECI-20240605001;WOA240529605-00-001-002;JP21904EA1;2#龙门图电线;沉金;A板;正片;短边;0.7(含铜);556.0;534.0;0.35;;东威;5;5;15;45.0;19.0;2;龙门;70;18;54.0;58.0;16.0;11.0;;;60.0;8;;;;;孔铜;管控要求≥19平均21;29.47;22.92;29.47;32.09;29.47;30.78;29;REJ;19.0;24.0;0;22.92;32.09;29.03;3.17;9.170000000000002;42529;JP21904EA1;556.0;534.0;104.0;101.2;0.15/0.25;54.0;58.0;0.8;0.35;27850.0;2.285714285714286;296904.0;0.15;0.25;False;22.92;32.09;9.170000000000002;0.2063157894736843;3.9200000000000017;0.35
DCI-20240605311;ECI-20240605002;WOA240527555-00-001-001;JP6C004EA1;2#龙门图电线;沉金;A板;正片;短边;;600.0;440.0;0.5;;东威;5;5;15;45.0;19.0;2;龙门;35;20;37.0;34.0;18.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;32.62;28.59;29.63;30.85;27.86;34.05;30.6;REJ;20.0;25.0;0;27.86;34.05;30.6;2.39;6.189999999999998;262280;JP6C004EA1;600.0;440.0;204.4;184.6;0.15/0.20;37.0;34.0;1.5;0.5;19498.0;3.0;264000.0;0.15;0.2;False;27.86;34.05;6.189999999999998;0.39299999999999996;7.859999999999999;0.5
